ano,nome_musica,artista,letra
1982,Banho de Espuma,Rita Lee,"Que tal nós dois
Numa banheira de espuma?
El cuerpo caliente, un dolce far niente
Sem culpa nenhuma
Fazendo massagem
Relaxando a tensão
Em plena vagabundagem, com toda disposição
Falando muita bobagem, esfregando com água e sabão
(Uh-lá-lá)
Que tal nós dois
Numa banheira de espuma?
El cuerpo caliente, un dolce far niente
Sem culpa nenhuma
Fazendo massagem
Relaxando a tensão
Em plena vagabundagem, com toda disposição
Falando muita bobagem, esfregando com água e sabão
Lá no reino de Afrodite
O amor passa dos limites
Quem quiser, que se habilite
O que não falta é apetite (ai, meu Deus)
Que tal nós dois
Numa banheira de espuma?
El cuerpo caliente, un dolce far niente
Sem culpa nenhuma
Fazendo massagem
Relaxando a tensão
Em plena vagabundagem, com toda disposição
Falando muita bobagem, esfregando com água e sabão
Lá no reino de Afrodite
O amor passa dos limites
Quem quiser, que se habilite
O que não falta é apetite (uh-lá-lá-lá)
Lá no reino de Afrodite
O amor passa dos limites
Quem quiser, que se habilite
O que não falta é apetite
Lá no reino de Afrodite
O amor passa dos limites
Quem quiser, que se habilite
O que não falta é apetite (uh-lá-lá-lá)
Lá no reino de Afrodite
O amor passa dos limites
Quem quiser, que se habilite
O que não falta é apetite"
2013,Amor de Chocolate,Naldo Benny,"Vodka ou água de coco, pra mim tanto faz
Gosto quando fica louca
E cada vez eu quero mais
Cada vez eu quero mais
Whisky ou água de coco, pra mim tanto faz
Eu já tô cheio de tesão
E cada vez eu quero mais
Cada vez eu quero mais
Um, dois, três, quatro
Pra ficar maneiro eu jogo o clima lá no alto
Alto em cima! Alto em cima!
Alto em cima! Alto em cima!
Em cima! Em cima! Em cima! Em cima!
Eu não tô de brincadeira, eu meto tudo, eu pego firme pra valer
Chego cheio de maldade, eu quero ouvir você gemer
Eu te ligo e chega a noite, vou com tudo e vai que vai
Tem sabor de chocolate o sexo que a gente faz
Corpo quente, tô suado, vem melar e vem lamber
Só o cheiro, só um toque, já me faz enlouquecer
Já me faz enlouquecer
Vodka ou água de coco, pra mim tanto faz
Eu gosto quando fica louca
E cada vez eu quero mais
Cada vez eu quero mais
Whisky ou água de coco, pra mim tanto faz
Eu já tô cheio de tesão
E cada vez eu quero mais
Cada vez eu quero mais
Um, dois, três, quatro
Pra ficar maneiro eu jogo o clima lá no alto
Alto em cima! Alto em cima!
Alto em cima! Alto em cima!
Em cima! Em cima! Em cima! Em cima!
Eu não tô de brincadeira eu meto tudo, eu pego firme pra valer
Chego cheio de maldade, eu quero ouvir você gemer
Eu te ligo e chega a noite, vou com tudo e vai que vai
Tem sabor de chocolate, o sexo que a gente faz
Corpo quente, tô suado, vem melar e vem lamber
Só o cheiro, só um toque, já me faz enlouquecer
Já me faz enlouquecer
Um, dois, três, quatro
Pra ficar maneiro eu jogo o clima lá no alto
Alto em cima! Alto em cima!
Alto em cima! Alto em cima!
Em cima! Em cima! Em cima! Em cima!"
1984,"São Paulo, São Paulo",Premeditando o Breque (Premê),"É sempre lindo andar na cidade de São Paulo
O clima engana, a vida é grana em São Paulo
A japonesa loura, a nordestina moura de São Paulo
Gatinhas punk, um jeito yankee de São Paulo
Na grande cidade me realizar
Morando num BNH
Na periferia a fábrica escurece o dia
Não vá se incomodar com a fauna urbana de São Paulo, de São Paulo
Pardais, baratas, ratos na Rota de São Paulo
E pra você criança muita diversão
E poluição
Tomar um banho no Tietê ou ver TV
Na grande cidade me realizar
Morando num BNH
Na periferia a fábrica escurece o dia
Chora Menino, Freguesia do Ó, Carandiru, Mandaqui, aqui
Vila Sônia, Vila Ema, Vila Alpina, Vila Carrão, Morumbi
Pari
Butantã, Utinga, é M'Boi Mirim, Brás! Brás! Belém
Bom Retiro, Barra Funda, Ermelino Matarazzo
Mooca, Penha, Lapa, Sé
Jabaquara, Pirituba, Tucuruvi, Tatuapé!
Pra quebrar a rotina num fim de semana em São Paulo
Lavar um carro comendo um churro é bom pra burro
Um ponto de partida pra subir na vida em São Paulo
Terraço Itália, Jaraguá, Viaduto do Chá
Na grande cidade me realizar morando num BNH
Na periferia a fábrica escurece o dia
Na periferia a fábrica escurece o dia
Na periferia a fábrica escurece o dia"
1969,Magic Carpet Ride,Steppenwolf,"I like to dream
Yes, yes, right between the sound machine
On a cloud of sight, I drift in the night
Any place it goes is right
Goes far, flies near to the stars away from here
Well, you don't know what we can find
Why don't you come with me, little girl
On a magic carpet ride?
Well, you don't know what we can see
Why don't you tell your dreams to me?
Fantasy will set you free
Close your eyes, girl
Look inside, girl
Let the sound take you away
Last night I held Aladdin's lamp
So I wished that I could stay
Before the thing could answer me
Well someone took, took the lamp way
I looked around
A lousy candle was all I found
Well, you don't know what we can find
Why don't you come with me, little girl
On a magic carpet ride?
Well, you don't know what we can see
Why don't you tell your dreams to me?
Fantasy will set you free
Close your eyes, girl
Look inside, girl
Let the sound take you away
You don't know what we can find
Why don't you come with me, little girl
On a magic carpet ride?
Well, you don't know what we can see
Why don't you tell your dreams to me?"
1958,Diana,One Direction,"(Diana)
Front pages are your pictures
They make you look so small
How could someone not miss you at all?
I never would mistreat ya
Oh, I'm not a criminal
I speak a different language
But I still hear your call
Diana, let me be the one to
Light a fire inside those eyes
You've been lonely, you don't even know me
But I can feel you crying
Diana, let me be the one to
Lift your heart up and save your life
I don't think you even realise
Baby, you'd be saving mine (Diana)
It's only been for months, but
You've fallen down so far
How could someone mislead you at all?
I wanna reach out for ya
I wanna break these walls
I speak a different language
But I still hear your call
Diana, let me be the one to
Light a fire inside those eyes
You've been lonely, you don't even know me
But I can feel you crying
Diana, let me be the one to
Lift your heart up and save your life
I don't think you even realise
Baby, you'd be saving mine
We all need something
This can't be over now
If I could hold ya
Swear I'd never put you down
Diana, let me be the one to
Light a fire inside those eyes
You've been lonely, you don't even know me
But I can feel you crying
Diana, let me be the one to
Lift your heart up and save your life
I don't think you even realise
Baby, you'd be saving mine
Oh, oh, oh
Diana
Oh, oh, oh
Diana
Baby, you'd be saving mine
Oh, oh, oh
Diana
Oh, oh, oh
Diana
Baby, you'd be saving mine"
2012,Vem Ni Mim Dodge Ram (part. Gusttavo Lima),Israel Novaes,"Vem ni mim Dodge RAM
Focker duzentos e oitenta
A mulherada louca
Israel Novaes arrebenta
Já não faz muito tempo
Que eu andava a pé
Não pegava nem gripe, muito menos mulher
Só pegava poeira, não olhavam pra mim
Um dia eu decidi, eu vou sair daqui
Quem não tem dinheiro é primo primeiro de um cachorro
O trem era tão feio que nem sobrava osso pra mim
Agora eu tô mudado
O meu bolso tá cheio
Mulherada atrás
Eu quero ouvir cada vez mais
Vem ni mim Dodge RAM
Focker duzentos e oitenta
A mulherada louca
Israel Novaes arrebenta!
Vem ni mim Dodge RAM
Focker duzentos e oitenta
A mulherada louca
Israel Novaes arrebenta!
Já não faz muito tempo que eu andava a pé
Não pegava nem gripe
Muito menos mulher
Só pegava poeira
Não olhavam pra mim
Um dia eu decidi, eu vou sair daqui
Quem não tem dinheiro é primo primeiro de um cachorro
O trem era tão feio que nem sobrava osso pra mim
Agora eu tô mudado
O meu bolso tá cheio
Mulherada atrás
Eu quero ouvir cada vez mais
Vem ni mim Dodge RAM
Focker duzentos e oitenta
A mulherada louca
Israel Novaes arrebenta!
Vem ni mim Dodge RAM
Focker duzentos e oitenta
A mulherada louca
Israel Novaes arrebenta!
Vem ni mim Dodge RAM
Focker duzentos e oitenta
A mulherada louca
Israel Novaes arrebenta!
Vem ni mim Dodge RAM
Focker duzentos e oitenta
A mulherada louca
Israel Novaes arrebenta!"
1961,Ironia (part. Mano Fler),Pateta Código 43,"Deixa a lágrima cair
Ninguém apaga nossa história
Quem quer ver o nosso fim
Vai aplaudir nossa vitória, nossa vitória
A vida tem altas e baixa
Umas que relaxa, outras que encaixa
Outras se abaixa, outras sobe na caixa
E a situação que se acha te escracha
Até delegado entende o legado
Quando me prendeu disse que era meu fã
Muitos cumpriu a ordem do juiz
Sofrendo aprendi dar valor no amanhã
Somente uma Ironia explica
O tiro que eu nunca te dei
Aquela saidinha que eu nunca catei
Aquela cabeça que eu nunca pisei
É pelo tanto que orei
Nessa caminhada sujeito é o que é
A sua cabeça tá rico de fé
E sua palavra vale mais que um fuzil tripé
Passo à passo e sobre a vida avisa
Grita aí que a cocaína na geladeira exorciza
Dente siso incomoda menos
Que uma mente indecisa e leva pisa pisa
Reconheço na minha frente o que precisa
Combo de conhecimento é para que serve
Um dia ela é o anzol que fisga, alisa
No outro dia é o termômetro que mede a febre
Desacreditado é tudo igual só muda telefone
A cara, o vulgo, e o endereço
Joga pra cima rap verdadeiro
Na mesma lealdade eu somente agradeço
Código 43 foi Deus quem fez
Segura o pizote contando até 3
O fundamento dos líders na pista
Encaçapa a bola da vez
Deixa a lágrima cair
Ninguém apaga nossa história
Quem quer ver o nosso fim
Vai aplaudir nossa vitória, nossa vitória
Deixa a lágrima cair
Ninguém apaga nossa história
Quem quer ver o nosso fim
Vai aplaudir nossa vitória, nossa vitória
De foguetão rasgando o vento
É o despertador da favela
De Tactel camuflada
Nike 12 mola e meia na canela
Só pelos traje e pelas tatuagem
Cê já tá ciente que nóis é um cria
Nós já provou o veneno da serpente
Prepara outro drink que esse não pira
Super SayaJin
Dechavando o verbo com o Frankstein
Nóis segue assim, assim
Transformando lágrima em nota de 100
É poucas ideia, a caminhada já fala por si
Eu agradeço e reconheço
Todos aqueles que acreditam em mim
Da onde eu vim
O olhar é triste, o sorriso é carente
Da onde eu vim
Tem que agir na pureza e ser transparente
Código 43, mais uma vez anota esse Cep
É só criatura cria da rua mastigando rap
Deixa a lágrima cair
Ninguém apaga nossa história
Quem quer ver o nosso fim
Vai aplaudir nossa vitória, nossa vitória
Deixa a lágrima cair
Ninguém apaga nossa história
Quem quer ver o nosso fim
Vai aplaudir nossa vitória, nossa vitória"
1997,Dança da Vassoura,Molejo,"Diga aonde você vai
Que eu vou varrendo
Diga aonde você vai
Que eu vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Diga aonde você vai
Que eu vou varrendo
Diga aonde você vai
Que eu vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Oh, menininha, eu sou seu fã
Oh, menininha, eu sou seu fã
Danço contigo até de manhã
Danço contigo até de manhã
Oh, menininha, eu sou seu fã
Oh, menininha, eu sou seu fã
Danço contigo até de manhã
Danço contigo até de manhã
Na dança da bruxinha
Dança preta, dança loura
Na dança da bruxinha
Dança preta, dança loura
Agora todo mundo
Na dancinha da vassoura
Agora todo mundo
Na dancinha da vassoura
Na dança da bruxinha
Dança preta, dança loura
Na dança da bruxinha
Dança preta, dança loura
Agora todo mundo
Na dancinha da vassoura
Agora todo mundo
Na dancinha da vassoura
Varre pra esquerda
Varre pra direita
Levanta poeira
Que essa dança é porreta
Varre pra esquerda
Varre pra direita
Levanta poeira
Que essa dança é porreta
Piti pi piti pi piti pau!
Piti pi piti pi piti pau!
Mas tome cuidado
Com o cabo da vassoura
É pior do que cenoura
Você pode se dar mal
Piti pi piti pi piti pau!
Piti pi piti pi piti pau!
Mas tome cuidado
Com o cabo da vassoura
É pior do que cenoura
Você pode se dar mal
Diga aonde você vai
Que eu vou varrendo
Diga aonde você vai
Que eu vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Diga aonde você vai
Que eu vou varrendo
Diga aonde você vai
Que eu vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Oh, menininha, eu sou seu fã
Oh, menininha, eu sou seu fã
Danço contigo até de manhã
Danço contigo até de manhã
Na dança da bruxinha
Dança preta, dança loura
Na dança da bruxinha
Dança preta, dança loura
Agora todo mundo
Na dancinha da vassoura
Agora todo mundo
Na dancinha da vassoura
Na dança da bruxinha
Dança preta, dança loura
Na dança da bruxinha
Dança preta, dança loura
Agora todo mundo
Na dancinha da vassoura
Agora todo mundo
Na dancinha da vassoura
Varre pra esquerda
Varre pra direita
Levanta poeira
Que essa dança é porreta
Varre pra esquerda
Varre pra direita
Levanta poeira
Que essa dança é porreta
Piti pi piti pi piti pau!
Piti pi piti pi piti pau!
Mas tome cuidado
Com o cabo da vassoura
É pior do que cenoura
Você pode se dar mal
Piti pi piti pi piti pau!
Piti pi piti pi piti pau!
Mas tome cuidado
Com o cabo da vassoura
É pior do que cenoura
Você pode se dar mal
Diga aonde você vai
Que eu vou varrendo
Diga aonde você vai
Que eu vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Diga aonde você vai
Que eu vou varrendo
Diga aonde você vai
Que eu vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Diga aonde você vai
Que eu vou varrendo
Diga aonde você vai
Que eu vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Diga aonde você vai
Que eu vou varrendo
Diga aonde você vai
Que eu vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo
Vou varrendo, vou varrendo"
1991,Brincar de Ser Feliz,Chitãozinho & Xororó,"Tranquei a porta do meu peito
Depois joguei a chave fora
E bem depressa eu mandei
A solidão embora
E nem dei o primeiro passo
Já dei de cara com você
Me olhando com aquele jeito
Que só você tem
Quando quer me vencer
Dona das minhas vontades
Com a chave da paixão
Tranquilamente, vai e volta
Entra e abre a porta
Do meu coração
Já sabe do meu ponto fraco
Das minhas manhãs e desejos
Desliza sobre a minha pele
Põe na minha boca
O mel dos seus beijos
Como é que eu posso
Me livrar das garras
Desse amor gostoso?
O jeito é relaxar
E começar tudo de novo
Como é que eu posso não querer
Se na verdade eu quero bis?
Rolar com você, nem que seja
Pra brincar de ser feliz
Como é que eu posso
Me livrar das garras
Desse amor gostoso?
O jeito é relaxar
E começar tudo de novo
Como é que eu posso não querer
Se na verdade eu quero bis?
Rolar com você, nem que seja
Pra brincar de ser feliz
Dona das minhas vontades
Com a chave da paixão
Tranquilamente, vai e volta
Entra e abre a porta
Do meu coração
Já sabe do meu ponto fraco
Das minhas manhas e desejos
Desliza sobre a minha pele
Põe na minha boca
O mel dos seus beijos
Como é que eu posso
Me livrar das garras
Desse amor gostoso?
O jeito é relaxar
E começar tudo de novo
Como é que eu posso não querer
Se na verdade eu quero bis?
Rolar com você, nem que seja
Pra brincar de ser feliz
Como é que eu posso
Me livrar das garras
Desse amor gostoso?
O jeito é relaxar
E começar tudo de novo
Como é que eu posso não querer
Se na verdade eu quero bis?
Rolar com você, nem que seja
Pra brincar de ser feliz
Rolar com você, nem que seja
Pra brincar de ser feliz
Rolar com você, nem que seja
Pra brincar de ser feliz"
1980,Canção de Verão,Roupa Nova,"É como um sol de verão
Queimando no peito
Nasce um novo desejo
Em meu coração
É uma nova canção
Rolando no vento
Sinto a magia do amor
Na palma da mão
É verão
Bom sinal
Já é tempo
De abrir o coração
E sonhar"
2010,Need You Now,Lady A,"Picture perfect memories
Scattered all around the floor
Reaching for the phone 'cause
I can't fight it anymore
And I wonder if I ever cross your mind
For me it happens all the time
It's a quarter after one
I'm all alone and I need you now
Said I wouldn't call
But I lost all control and I need you now
And I don't know how I can do without
I just need you now
Another shot of whisky
Can't stop looking at the door
Wishing you'd come sweeping
In the way you did before
And I wonder if I ever cross your mind
For me, it happens all the time
It's a quarter after one
I'm a little drunk
And I need you now
Said I wouldn't call
But I lost all control and I need you now
And I don't know how I can do without
I just need you now
Guess I'd rather hurt than feel nothing at all
It's a quarter after one
I'm all alone and I need you now
And I said I wouldn't call
But I'm a little drunk and I need you now
And I don't know how I can do without
I just need you now
I just need you now
Oh, baby, I need you now"
1971,It's Too Late,Carole King,"Stayed in bed all mornin' just to pass the time
There's somethin' wrong here, there can be no denying
One of us is changin', or maybe we just stopped trying
And it's too late, baby, now it's too late
Though we really did try to make it
Somethin' inside has died
And I can't hide, and I just can't fake it
Oh, no, no, no (no, no, no)
It used to be so easy livin' here with you
You were light and breezy, and I knew just what to do
Now you look so unhappy and I feel like a fool
And it's too late, baby, now it's too late
Though we really did try to make it
Somethin' inside has died
And I can't hide, and I just can't fake it
Oh, no, no
There'll be good times again for me and you
But we just can't stay together
Don't you feel it too?
Still, I'm glad for what we had
And how I once loved you
But it's too late, baby, now it's too late
Though we really did try to make it
Somethin' inside has died
And I can't hide, and I just can't fake it
Oh, no, no, no, no, no
Too late
Baby, it's too late
Now, darlin', it's too late"
1961,Não Sabemos,Leila Silva,"Vamos falar a verdade
Sobre a felicidade
Que o destino nos roubou
Sei que erramos
Pecamos
Mas isso é caso que existe
Em todo romance de amor
Vivemos tão separados
Não sabemos o culpado
Da nossa separação
Sei que por fora tu me odeias
Mas por dentro tu me queres
É meu teu coração
Foi o destino quem quis
Que eu não fosse feliz
Perto, bem perto de ti
Sabes mesmo que te quero
Te adoro, amo e venero
Estando bem longe de ti"
1963,Resto De Uma Saudade,Sensação,"O cheiro do teu perfume
Resto de uma saudade
Louca vontade em te ver
Mas não vou te procurar
Acho que não adianta correr atrás deste amor
Se já o perdi de vista, não achei rastro nem pista
Só mesmo o tempo irá encontrar
Acho que não adianta correr atrás deste amor
Quem dera ele estivesse perto
Deste meu olhar, meu sonhar, meu viver
Teu cheiro em outra pessoa
E o meu pensamento em você
É impossível te esquecer, meu amor
Teu cheiro em outra pessoa
E o meu pensamento em você
É impossível te esquecer"
1979,Frete,Renato Teixeira,"Eu conheço cada palmo desse chão
É só me mostrar qual é a direção
Quantas idas e vindas, meu Deus, quantas voltas
Viajar é preciso, é preciso
Com a carroceria sobre as costas
Vou fazendo frete cortando o estradão
Eu conheço todos os sotaques
Desse povo todas as paisagens
Dessa terra todas as cidades
Das mulheres todas as vontades
Eu conheço as minhas liberdades
Pois a vida não me cobra o frete
Por onde eu passei deixei saudades
A poeira é minha vitamina
Nunca misturei mulher com parafuso
Mas não nego a elas meus apertos
Coisas do destino e do meu jeito
Sou irmão de estrada e acho muito bom
Eu conheço todos os sotaques
Desse povo todas as paisagens
Dessa terra todas as cidades
Das mulheres todas as vontades
Eu conheço as minhas liberdades
Pois a vida não me cobra o frete
Mas quando eu me lembro lá de casa
A mulher e os filhos esperando
Sinto que me morde a boca da saudade
E a lembrança me agarra e profana
O meu tino forte de homem
E é quando a estrada me acode
Eu conheço todos os sotaques
Desse povo todas as paisagens
Dessa terra todas as cidades
Das mulheres todas as vontades
Eu conheço as minhas liberdades
Pois a vida não me cobra o frete"
2017,Nosso Infinito,Breno e Caio Cesar,"Tem dias difíceis demais
E eu não me acostumo
Com gente que fala da boca pra fora
Depois vai embora assim
Sem se importar com quem ficou
Mas sorte que eu tive meu dia de sorte
Bendito endereço, a rua, o shopping
Que a gente esbarrou
Coração te beijou amor
Sem se importar
Com quem passou
Pensando bem
Eu já me acostumei com tudo
Mas com seu sorriso não
Seu sorriso não
E agora ser feliz é nossa obrigação
Seu nome já faz parte da minha oração
Eu só quero mais tempo
Pro nosso infinito durar
E agora ser feliz é nossa obrigação
Seu nome já faz parte da minha oração
Eu só quero mais tempo
Pro nosso infinito durar"
1995,Take a Bow,Rihanna,"Oh, how bout a round of applause? (Yeah)
Standin' ovation
Oh, yeah
Yeah, yeah, yeah, yeah
You look so dumb right now
Standin' outside my house
Tryin' to apologize
You're so ugly when you cry
Please, just cut it out
Don't tell me you're sorry, 'cause you're not
Baby, when I know you're only sorry you got caught
But you put on quite a show
Really had me goin'
But now it's time to go
Curtains finally closin'
That was quite a show
Very entertaining
But it's over now (but it's over now)
Go on and take a bow
Grab your clothes and get gone
(You better hurry up)
Before the sprinklers come on (come on)
Talkin' bout: Girl, I love you, you're the one
This just looks like a re-run
Please! What else is on?
And don't tell me you're sorry, 'cause you're not
Baby, when I know you're only sorry you got caught
But you put on quite a show
Really had me goin'
But now it's time to go
Curtains finally closin'
That was quite a show
Very entertaining
But it's over now (but it's over now)
Go on and take a bow
And the award for the best liar goes to you
For makin' me believe
That you could be
Faithful to me
Let's hear your speech out, oh
How bout a round of applause?
A standin' ovation
But you put on quite a show
You really had me goin'
Now it's time to go
Curtains finally closin'
That was quite a show
Very entertaining
But it's over now (but it's over now)
Go on and take a bow
But it's over now"
2012,Payphone (feat. Wiz Khalifa),Maroon 5,"I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two?
Yeah, I, I know it's hard to remember
The people we used to be
It's even harder to picture
That you're not here next to me
You say it's too late to make it
But is it too late to try?
And in our time that you wasted
All of our bridges burned down
I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time when we called it love
But even the Sun sets in paradise
I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two?
If happy ever after did exist
I would still be holding you like this
All those fairy tales are full of shit
One more fucking love song, I'll be sick
Oh
You turned your back on tomorrow
'Cause you forgot yesterday
I gave you my love to borrow
But you just gave it away
You can't expect me to be fine
I don't expect you to care
I know I've said it before
But all of our bridges burned down
I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time when we called it love
But even the Sun sets in paradise
I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two?
If happy ever after did exist
I would still be holding you like this
All those fairy tales are full of shit
One more fucking love song, I'll be sick
Now I'm at a payphone
Man, fuck that shit
I'll be out spending all this money while you sitting round
Wondering why it wasn't you who came up from nothing
Made it from the bottom
Now when you see me I'm stunning
And all of my cars start with a push of a button
Telling me the chances I blew up
Or whatever you call it
Switch the number to my phone
So you never could call it
Don't need my name on my shirt
You can tell it I'm ballin'
Swish, what a shame, could have got picked
Had a really good game, but you missed your last shot
So you talk about who you see at the top
Or what you could have saw
But, sad to say, it's over for
Phantom pulled valet open doors
Wiz, like go away got what you was looking for
Now it's me who they want
So you can go and take that little piece of shit with you
I'm at a payphone trying to call home
All of my change I spent on you
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two?
If happy ever after did exist
I would still be holding you like this
All those fairy tales are full of shit
One more fucking love song, I'll be sick
Now I'm at a payphone"
2008,Love In This Club (feat. Young Jeezy),Usher,"Gotta do it for the ladies
And I gotta keep it hood
Where we at polo
I see you ryan
What you do was right
But we just gettin started
Yeaa man
You see you searching for somebody
That'll take you out and do you right
Well come here baby and let daddy show you what it feel like
You know all you gotta do is tell me what you sippin' on
And I promise that I'm gonna keep it comin' all night long
Lookin' in the eyes while you walk the other side
And I think that shorty I've got a thing for you
Doin' it on purpose winding and workin' it
I can tell by the way you lookin' at me girl
I wanna make love in this club (in this club, in this club, in this club)
I wanna make love in this club (in this club, in this club, in this club)
You got some friends rollin' wit you baby then that's cool
You can leave them with my niggas let em know that I got you
If you didn't know, you're the only thing that's on my mind
Cuz the way I'm staring miss you got me wantin to give it to you all night
Lookin' in the eyes while you walk the other side
I can't take it no more, baby I'm coming for you
You keep doin' it on purpose winding and working it
If we close our eyes it could be just me and you
I wanna make love in this club (in this club, in this club, in this club)
I wanna make love in this club (in this club, in this club, in this club)
I wanna make love in this club (in this club, in this club, in this club)
I wanna make love in this club (in this club, in this club, in this club)
Young jeezy
(Well, you know we always rollin!, I'm on em')
Yea, let's go
I'm what you want, I'm what you need
He got you trapped, I'll set you free
Sexually, mentally, physically, emotionally
I'll be like your medicine, you'll take every dose of me
It's going down on aisle 3, I'll bag you like some groceries
And every time you think about it you gon' want some more of me
About to hit the club, make a movie yeah rated
Pulled up like a trap star,
That's if you have yo regular car
You ever made love to a thug in the club with his ice on
87 Jeans and a fresh pair of nikes on
On the couch, on the table, on the bar, or on the floor
You can meet me in the bathroom yeah you know I'm trying go
You might as well give me a kiss
If we keep touching like this
I know you scared
Baby, they don't know what we doin
Let's both get undressed right here
Keep it up girl and I swear
I'ma give it to you non-stop
And I don't care who's watchin'
Watchin', watchin' (watchin', watchin')
Oh, in this club, on the floor
Baby let's make love
I wanna make love in this club
(In this club, in this club, in this club)
I wanna make love in this club
(In this club, in this club, in this club)
Yeah"
1972,Soley Soley,Middle Of The Road,"Just a little bit lonely
just a little bit sad
I was feeling so empty
until you came back
until you came back
until you came back.
Oh
Soley
Soley
Soley
Soley
Soley
Soley
Oh
Soley
Soley
Soley
ley
Soley
Soley
Soley
ley
Soley
Soley.
Just a little bit closer
can you lay by my side
can we get it together
lazing in the sand
lazing in the sand
lazing in the sand.
Oh
Soley
Soley..."
1993,Tô Legal,Grupo Raça,"Não faz mal, se o sonho chegou ao fim
Sem essa de baixo astral, no meu coração
Eu juro que não
Não faz mal, valeu enquanto durou
E agora que terminou, preciso cuidar de mim
Não faz mal, não foi a primeira vez
Que um grande amor se desfez
Sem ter uma explicação
Não faz mal, não tenho que lamentar
O tempo há de apagar, as marcas dessa paixão
Tô legal, apesar disso tudo, eu tô legal
Vou pensar no futuro, eu tô legal
É o meu coração que diz
Tô legal, apesar disso tudo, eu tô legal
Vou pensar no futuro, eu tô legal
Quero mais é te ver feliz"
1983,I Don't Wanna Dance,Eddy Grant,"I don't wanna dance
Dance with you baby no more
I'll never do something to hurt you, though
Oh but the feeling is bad
The feeling is bad
I love your personality
But I don't want our love on show
Sometimes I think it's insanity
Girl the way you go
With all of the guys on the corner
Oh baby, you're the latest trick
Oh, you seem to have their number
Look they're dancing still
I don't wanna dance
Dance with you baby no more
I'll never do something to hurt you, though
Oh but the feeling is bad
The feeling is bad
Baby now the party's over
For us, so I'll be on my way
Now that the things which moved me
Are standing still
I know it's only superstition
Baby, but I won't look back
Even though I feel your music
Baby that is that
I don't wanna dance
Dance with you baby no more
I'll never do something to hurt you, though
Oh but the feeling is bad
The feeling is bad
Don't wanna dance
Don't wanna dance
Don't wanna dance
Don't wanna dance
Don't wanna dance
Don't wanna dance
Don't wanna dance
I don't wanna dance
Dance with you baby no more
I'll never do something to hurt you, though
Oh but the feeling is bad
The feeling is bad"
1998,I Don't Want To Miss a Thing,Aerosmith,"I could stay awake
Just to hear you breathin'
Watch you smile while you are sleepin'
While you're far away and dreamin'
I could spend my life
In this sweet surrender
I could stay lost in this moment forever
Every moment spent with you
Is a moment I treasure
Don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, babe
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream would never do
I'd still miss you, baby
And I don't wanna miss a thing
Lyin' close to you
Feelin' your heart beatin'
And I'm wonderin' what you're dreamin'
Wonderin' if it's me you're seein'
Then I kiss your eyes
And thank God we're together
And I just wanna stay with you
In this moment forever
Forever and ever
I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream would never do
I'd still miss you, baby
And I don't wanna miss a thing
And I don't wanna miss one smile
I don't wanna miss one kiss
I just wanna be with you
Right here with you, just like this
I just wanna hold you close
I feel your heart so close to mine
And just stay here in this moment
For all the rest of time
Yeah (yeah), yeah (yeah), yeah!
Don't wanna close my eyes
Don't wanna fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream would never do
I'd still miss you, baby
And I don't wanna miss a thing
I don't wanna close my eyes
I don't wanna fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream would never do
I'd still miss you, baby
And I don't wanna miss a thing
Don't wanna close my eyes
I don't wanna fall asleep, yeah
I don't wanna miss a thing"
